MSI_DO_YOU_AGREE	동의 하십니까?
MSI_PARTIAL_SHOUTDOWN_TIME	고객님의 계정은 선택적 셧다운이 적용된 계정이며, 잔여시간은 %1.2d시간 %1.2d분입니다. 게임 이용에 참고해주시기 바랍니다.
MSI_MENU_REPLAYWND	리플레이
MSI_MENU_MACROWND	매크로
MSI_MENU_WEBBROWSERWND	Webbrowser
MSI_MENU_NAVIGATIONWND	내비게이션
MSI_MENU_UAEURLWND	UAEURL
MSI_CLAN_INFOMANAGE	 클랜정보 
MSI_CLAN_LEVEL	클랜레벨
MSI_CLAN_NAME	클랜명
MSI_CLAN_MARK	클랜마크
MSI_ALLY_CLAN	동맹클랜
MSI_HOSTILITY_CLAN	적대클랜
MSI_SEND_TO_CLAN	클랜에게 보냄
MSI_CLAN_MASTER_NAME	마스터이름
MSI_CLAN_NUM_MEMBER	조합원수
MSI_CLAN_MANAGE_LAND	관리영지
MSI_VIEW_CLAN_MSG	클랜 채팅 메시지 표시
MSI_TWWEB_WARRING	충전 페이지로 이동합니다.
MSI_TWWEB_URL	https://gfb.gameflier.com/Billing/ingame/index_new.asp?
MSI_STR_MAKECHARACTER	캐릭터 만들기
MSI_CHR_DELETE_RESERVED_FAIL_CHARNAME	캐릭명이 일치하지 않습니다.
MSI_CHR_DELETE_RESERVED_INPUTCONFIRMSTR_WND_TITLE	캐릭터명을 입력하세요
MSI_SELECT_SEX	성별 선택 창
MSI_SPRITE_ALTER	파일의 위변조가 감지 되었습니다.
MSI_CONFIRM_TO_OPEN_EVENT_ITEM	해당 아이템을 개봉하여 획득되는 아이템들은 캐릭터 귀속 아이템 (창고이동 불가능) 입니다. 본 캐릭터에 사용하시는 것이 맞으신지 확인해주시기 바랍니다. 상자를 개봉하시겠습니까?
MSI_GAME_SETTING	게임 설정
MSI_SYSTEM_SETTING	게임 시스템
MSI_COMMAND_SETTING	게임 커맨드
MSI_COMMAND_LIST	게임 커맨드 ON/OFF
MSI_MACRO_LIST	매크로
MSI_EXCHANGEITEM_DENY_MAP	이지역은 아이템교환이 금지 되어 있습니다
MSI_CART_USE_DENY_MAP	이지역은 카트이용이 금지 되어 있습니다
MSI_BLOCK_SUNMOONSTAR_MIRACLE	이지역은 태양과달과별의 기적 효과가 발생하지 않습니다.
MSI_RANKING_BOARD	랭킹 보드
MSI_RANKING_NUMBER	순위
MSI_RANKING_NAME	이름
MSI_RANKING_POINT	포인트
MSI_RANKING_BLACKSMITH	BlackSmith
MSI_RANKING_ALCHEMIST	Alchemist
MSI_RANKING_TAEKWON	Taekwon
MSI_RANKING_KILLER	Killer
MSI_RANKING_BATTLE_7VS7_ALL	7 vs 7
MSI_RANKING_RUNE_KNIGHT	RuneKnight
MSI_RANKING_WARLOCK	Warlock
MSI_RANKING_RANGER	Ranger
MSI_RANKING_MECHANIC	Mechanic
MSI_RANKING_GUILLOTINE_CROSS	GuillotineCross
MSI_RANKING_ARCHBISHOP	Archbishop
MSI_RANKING_ROYAL_GUARD	RoyalGuard
MSI_RANKING_SORCERER	Sorcerer
MSI_RANKING_MINSTREL	Minstrel
MSI_RANKING_WANDERER	Wanderer
MSI_RANKING_GENETIC	Genetic
MSI_RANKING_SHADOW_CHASER	ShadowChaser
MSI_RANKING_SURA	Sura
MSI_RANKING_KAGEROU	Kagerou
MSI_RANKING_OBORO	Oboro
MSI_RANKING_SELECT	Select Ranking Type
MSI_RANKING_TYPE	Ranking Type
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_SEC	현재 접속 인원이 가득 찼습니다.           ^0000ff현재 대기순위 : %d                    예상 대기시간 : %d초
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_MIN	현재 접속 인원이 가득 찼습니다.           ^0000ff현재 대기순위 : %d                    예상 대기시간 : %d분 %d초
MSI_CBT_ACTIVE_USER_CHECK	CBT 초청 유저가 아닙니다
MSI_NAVIGATION_HELP_1	 -------------- Navigation 명령어 --------------
MSI_NAVIGATION_HELP_2	/navigation    /navi  :  /navi yuno 100/100           ->> 맵이름, 위치(100/100)
MSI_NAVIGATION_HELP_3	/navigation2  /navi2 :  /navi2 yuno 100/100 1/1/1 ->> 맵이름, 위치(100/100), scroll/zeny/plane (1:사용함 0: 사용안함)
MSI_NAVIGATION_HELP_4	 -------------- Navigation 검색창 명령어 -------
MSI_NAVIGATION_HELP_5	$$all         : 모든 항목 출력 (Type 구분자에서 출력 종류를 나눌수 있다.)
MSI_NAVIGATION_HELP_6	$$lv30       : 해당 레벨의 몬스터 출력 (숫자는 변경 가능)
MSI_NAVIGATION_HELP_7	$$lv20~30  : 해당 레벨 범위의 몬스터 출력 (숫자는 변경 가능)
MSI_RANKING_BATTLE_1VS1_ALL	1 vs 1
MSI_SHADOW_EQUIPMENT	특수 장비
MSI_CHARACTERERROR_JOB	%d 번째 캐릭터의 직업 정보가 이상합니다. 고객센터로 문의 부탁 드립니다. ErrorCode(%d)
MSI_NAVIGATION_ALL_S	(%s) %d / %d
MSI_NAVIGATION_ALL_SD	%s-%s(%d/%d)
MSI_REFUSE_OVER_USERLIMIT	접속자 수 초과로 서버에 더이상 접속할 수 없습니다.
MSI_REFUSE_ERRORCODE	서버접속 실패 (%d)
MSI_REFUSE_DISCONNECT_KEEP_TIME	로그인 허용시간 초과
MSI_REFUSE_WEB_AUTH_FAILED	로그인 중 인증서버로부터 인증이 실패하였습니다.
MSI_GUILDNAME_CHECK	길드이름에 공백문자를 사용할 수 없습니다.
MSI_BILLING_CHN_1	고객님 안녕하세요!
MSI_BILLING_CHN_2	고객님의 이용 시간은 %d년 %d 월 %d일 %d:%d 에 종료됩니다.
MSI_BILLING_CHN_3	고객님의 이용 시간은 아직 많이 남았으니 안심하고 플레이하세요!
MSI_BILLING_CHN_4	고객님의 이용 시간은 이번 주 내로 종료 됩니다. 종료 전에 충전을 하시기 바랍니다.
MSI_BILLING_CHN_5	고객님의 이용 시간은 24시간 내에 종료됩니다. 빨리 충전하시기 바랍니다.
MSI_BILLING_CHN_6	현재 고객님의 이용 시간은 %d시간 남았습니다. 정상적인 게임 이용을 위해 충전을 하시기 바랍니다.
MSI_BILLING_CHN_7	현재 고객님의 이용 시간은 %d분 남았습니다. 이용시간이 끝난 후 강제적으로 종료됩니다. 정상적인 게임 이용을 위해 충전을 하시기 바랍니다.
MSI_BILLING_CHN_8	고객님의 이용 시간은 %d시간 %d분 남았습니다.
MSI_BASIC_EXP_MSG_THAI	%d%% ( 기본 100%% + PC방 %d%% + 프리미엄 %d%% + %s서버 %d%% )
MSI_CHN_BILLING_EXPIRE_TIME	고객님의 이용 시간은 %d시간 %d분 후에 종료됩니다.
MSI_CHN_BLOCK_FOREVER	유저님의 계정은 영구 접속금지 되였습니다
MSI_CHN_BLOCK	유저님의 계정은 접속금지 되였습니다\n 해지 시간 : %04d-%02d-%02d %02d:%02d
MSI_WORLDMAP_MSG1	몬스터(Tab)
MSI_WORLDMAP_MSG2	맵(Alt)
MSI_WORLDMAP_MSG3	안내 정보
MSI_WORLDMAP_MSG4	검색 정보
MSI_WORLDMAP_MSG5	비공정
MSI_WORLDMAP_MSG6	카프라
MSI_WORLDMAP_MSG7	(도착)
MSI_NAVIGATION_MOB_S_S_S	Mob)%s:%s(%s)
MSI_NAVIGATION_NUM	분포도:%s
MSI_NAVIGATION_NUM1	매우많음
MSI_NAVIGATION_NUM2	많음
MSI_NAVIGATION_NUM3	보통
MSI_NAVIGATION_NUM4	적음
MSI_NAVIGATION_NUM5	매우적음
MSI_BANK_SYSTEM_ERROR	은행을 이용할 수 없습니다. 잠시 후 다시 시도하세요.
MSI_BANK_WITHDRAW_NO_MONEY	은행 잔고가 부족합니다.
MSI_BANK_DEPOSIT_NO_MONEY	보유한 Zeny 가 부족해서 입금할 수 없습니다.
MSI_BANK_DEPOSIT_ZERO	1 Zeny 이상 입금 가능합니다.
MSI_BANK_WITHDRAW_ZERO	1 Zeny 이상 출금 가능합니다.
MSI_BANK_OVER_INT_MAX	보유 Zeny 는 2,147,483,647 Zeny를 넘을 수 없습니다.
MSI_REFUSE_MOTP_LOCK	your account is lock by mobil otp
MSI_REFUSE_MOTP_AUTH_FAIL	MOTP auth fail
MSI_JOBPLUSEXP_VALUE	%d분간 몬스터에게 얻을 수 있는 Job경험치가 %d%% 증가합니다.
MSI_BANK_MY_ZENY	소지 Zeny : %s Zeny
MSI_BANK_ZENY	Zeny
MSI_BANK_WARNING	최대 2,147,483,647 Zeny 까지만 보관이 가능합니다.
MSI_NEED_MORE_BULLET	총알이 부족합니다.
MSI_OVERPRICE_MAX	10억제니 이상 입력하셔도 가격은 10억 제니로 고정됩니다.
MSI_NOT_VALID_AUTH_TICKET	AuthTicket is Not Vaild
MSI_STEAMAGENCY_ERROR	ErrorCategory : %d, ErrorCode : %d (%d,%d,%d,%d)
MSI_BASIC_EXP_MSG_INDONESIA	%d%% ( Basic 100%% + Premium %d%% + PCCafe %d%% + %s Server %d%% )
MSI_RECEIVEITEM_VALUE	 %d분간 몬스터 사냥을 통해 얻을 수 있는 기본 아이템의 드롭률이 %d%%로 증가합니다.
MSI_RECEIVEITEM_VALUE_1	 %d시간 %.2d분간 몬스터 사냥을 통해 얻을 수 있는 기본 아이템의 드롭률이 %d%%로 증가합니다.
MSI_WARNING_PRICE1	%s 의 가격이
MSI_WARNING_PRICE2	100000000
MSI_WARNING_PRICE3	 ^ff0000%d^0000ff억
MSI_WARNING_PRICE4	10000000
MSI_WARNING_PRICE5	 ^ff0000%d^0000ff천만
MSI_WARNING_PRICE6	^0000ffZeny 이상^000000입니다.\n입력금액이 맞습니까?
MSI_WARNING_PRICE7	천만Zeny이상 안전확인
MSI_AMERICA_CASHSHOP_URL	https://www.warpportal.com/account/login.aspx?ReturnUrl=%2faccount%2fpayment.aspx
MSI_AMERICA_CASHSHOP_URL_STEAM	https://kepler.warpportal.com/ro1/purchase/?step=1&steamid=%lld&accountname=
MSI_QUEST_INFO_01	지상의 끝, 스플랑디드와 부유대륙 알프헤임을 잇는 다리, 비프로스트에 생겨난 거대한 균열, 그리고 근원을 알 수 없는 미궁숲. 
MSI_QUEST_INFO_02	이것은 여행의 끝을 알리는 표식인가, 새로운 세계를 여는 지표인가! 수호자는 노랫말 같은 유혹에 점차 넋을 잃어가고 있었다. 
MSI_QUEST_INFO_03	수천 년의 세월이 흐르는 동안, 그 스스로가 홀로 안간힘을 쓰며 지켜낸 것이 무엇이었는지, 봉인 되어 긴 시간을 갇혀버린 것은 오히려 자신이 아니었는지 혼란을 느끼고 있었다. 
MSI_QUEST_INFO_04	유혹의 노랫말이 최고조에 이르렀을 때, 지상의 끝 스플랑디드와 부유대륙 알프헤임을 잇는 다리, 비프로스트에 거대한 균열이 생겨났고, 그로 인해 두 세계간의 왕래가 끊기면서 사람들은 큰 불편을 겪게 되었다. 
MSI_QUEST_INFO_05	비프로스트의 통로는 이제 미궁숲 뿐. 근원조차 알 수 없는 그곳을 무사히 통과 한 사람은 지금까지 아무도 없었다. 
MSI_QUEST_INFO_06	숱한 모험가들을 집어 삼킨 혼돈의 지옥, 미궁숲은 그 속을 방황하는 이름 모를 여인의 마음처럼 더욱 깊고 혼란스럽게 확장되고 있었다.
MSI_BANK_CHECK_NUM	숫자만 입력 가능합니다.
MSI_BANK_PROHIBIT	교환창 또는 상점이 활성화 된 상태에서는 입출금을 하실수 없습니다.
MSI_QUEST_INFO_00	바로가기
MSI_ITEM_COMPARISON	아이템 비교
MSI_WRONG_GUN	현재 장착하려고 하는 총기가 장착하고 있는 탄환에 맞지 않습니다
MSI_WRONG_BULLET	현재 장착하려고 하는 탄환이 장착하고 있는 총기와 맞지 않습니다
MSI_BUYINGSTORE_MAKEWND_ADD_GOODS	판매할 아이템을 등록하지 않았습니다. 판매하실 아이템을 등록해 주세요
MSI_ITEM_IN_MAIL_SYSTEM	ITEM
MSI_GUILD_STORAGE_OPEN_ERROR	길드 창고를 이용할 수 없습니다.
MSI_GUILD_STORAGE_OPEN_NO_JOIN_GUILD	길드에 가입되어 있지 않습니다. 가입 후 이용해주세요.
MSI_GUILD_STORAGE_WARNING_USING_ANOTHER_MEMBER	다른 길드원이 사용중입니다. 잠시 후 이용해주세요.
MSI_GUILD_STORAGE_PERMISSON	창고권한
MSI_GUILD_STORAGE_TITLE	길드창고
MSI_GUILD_STORAGE_PERMISSON_WARNING_MSG	길드창고의 사용 권한이 없습니다.
MSI_BARGAINSALE_TOOLWND_TITLE	한정판매 등록창
MSI_BARGAINSALE_TOOLWND_DB_NAME	아이템 DB명
MSI_BARGAINSALE_TOOLWND_DB_NUMBER	아이템 DB번호
MSI_BARGAINSALE_TOOLWND_SELL_COUNT	판매 갯수
MSI_BARGAINSALE_TOOLWND_SELL_STARTTIME	판매 시작시간
MSI_BARGAINSALE_TOOLWND_SELL_PERIODTIME	판매할 시간
MSI_BARGAINSALE_TOOLWND_INPUT_COUNT_MSG	판매할 갯수를 입력해 주세요
MSI_BARGAINSALE_TOOLWND_INPUT_STARTTIME_MSG	판매 시작시간을 입력해 주세요
MSI_BARGAINSALE_TOOLWND_WRONG_RANGE_MSG	판매 시작시간의 범위가 맞지 않습니다
MSI_BARGAINSALE_TOOLWND_INPUT_PERIODTIME_MSG	판매할 시간을 입력해 주세요
MSI_BARGAINSALE_TOOLWND_INPUT_ITEMDBNAME_MSG	Item DB Name을 입력해 주세요
MSI_BARGAINSALE_TOOLWND_ITEMID_CHECK_FAILED_MSG	Item ID 조회에 실패하였습니다. 확인 후 다시 시도해 주시기 바랍니다
MSI_BARGAINSALE_TOOLWND_RESULT_FORMAT	>> ItemName : %s / Price : %dc / 수량 : %d / 판매기간 : %d월:%d일:%d시:%d분 ~ %d월:%d일:%d시:%d분
MSI_BARGAINSALE_TOOLWND_APPLY_SUCCESS_MSG	등록에 성공하였습니다
MSI_BARGAINSALE_TOOLWND_APPLY_FAILED_MSG	등록에 실패하였습니다. 다시 시도해 주시기 바랍니다.
MSI_BARGAINSALE_TOOLWND_ALREADY_REGISTERED_MSG	이미 등록된 아이템이 있습니다. 다시 시도해 주시기 바랍니다.
MSI_BARGAINSALE_TOOLWND_DELETE_FAILED_MSG	아이템 삭제에 실패 하였습니다. 다시 시도해 주시기 바랍니다.
MSI_BARGAINSALE_TOOLWND_DELETE_SUCCESS_MSG	%s 아이템이 삭제되었습니다.
MSI_BARGAINSALE_CASHSHOP_TAB_NAME	특가
MSI_BARGAINSALE_CASHSHOP_REFRESH_BTN_TOOLTIP	한정판매 아이템 판매수량 갱신
MSI_BARGAINSALE_CASHSHOP_TIMER	판매종료
MSI_BARGAINSALE_CASHSHOP_REFRESH_MSG	수량갱신이 필요합니다
MSI_BARGAINSALE_CASHSHOP_CHECK_COUNT_MSG	재고가 부족하여 %d 개 만큼만 구입합니다
MSI_BARGAINSALE_START_MSG	%s 아이템의 특가판매가 시작되었습니다
MSI_BARGAINSALE_CLOSE_MSG	%s 아이템의 매진 또는 판매시간만료로 인해 한정판매가 종료되었습니다
MSI_BARGAINSALE_TOOLWND_CALL	/한정판매
MSI_FRANCE_CASHSHOP_URL	http://www.ragnarokeurope.com/news/home-r70.html
MSI_FRANCE_CASHSHOP_URL_STEAM	http://www.ragnarokeurope.com/index.php?rubrique=70&Steam
MSI_PARA_RESULT_TITLE	구입에 성공한 품목
MSI_PARA_WRONG_PURCHASE_COUNT_MSG	주문량이 재고량을 초과하였습니다.
MSI_PARTY_INVITE	초대할수 없는 케릭터 이름입니다.
MSI_GUILD_INVITE	길드초대할수  없는 케릭터 이름입니다.
MSI_PARA_PURCHASE_ITEM_FAIL	일부 품목은 이미 판매되어 구입에 실패하였습니다.
MSI_NOWARPSKILL2	현재 위치에서 워프 장소를 기억 할 수 없습니다.
MSI_PARA_PURCHASE_ITEM_WEIGHT	무게가 초과되어 아이템을 구매할 수 없습니다.
MSI_GUILD_STORAGE_NUMBER	No.
MSI_GUILD_STORAGE_ITEM	아이템
MSI_GUILD_STORAGE_ITEM_COUNT	개수
MSI_GUILD_STORAGE_USER_NAME	이름
MSI_GUILD_STORAGE_LOG_TIME	시간
MSI_GUILD_STORAGE_ITEM_IN_OUT	입/출
MSI_GUILD_STORAGE_LOG_FINISH	로그가 존재하지 않습니다.
MSI_GUILD_STORAGE_LOG_ALL	전 체
MSI_GUILD_STORAGE_LOG_IN	넣 기
MSI_GUILD_STORAGE_LOG_OUT	빼 기
MSI_GUILD_STORAGE_LOG_WND_NAME	길드 창고 내역
MSI_GUILD_STORAGE_LOG_CAUTION	내역은 최근 100개만 표시됩니다.
MSI_GUILD_STORAGE_CLOSE_TIMEOUT	길드창고의 사용 시간 2분이 경과되어 자동으로 종료됩니다.
MSI_INCORRECT_GAMESAMBEID	Incorrect GameSamba ID. Please Try Again.
MSI_EA5	%s [%d옵션] : %d 개
MSI_USESKILL_FAIL_COINTS	코인이 필요합니다.
MSI_USESKILL_FAIL_COINTS_NUM	코인이 %d 개가 필요합니다.
MSI_FAIL_NEED_EQUIPPED_GUN_GATLING	개틀링건 계열의 총기류를 장착한 상태여야 합니다.
MSI_FAIL_NEED_EQUIPPED_GUN_SHOTGUN	샷건 계열의 총기류를 장착한 상태여야 합니다.
MSI_FAIL_NEED_EQUIPPED_GUN_RIFLE	라이플 계열의 총기류를 장착한 상태여야 합니다.
MSI_FAIL_NEED_EQUIPPED_GUN_HANDGUN	리볼버 계열의 총기류를 장착한 상태여야 합니다.
MSI_FAIL_NEED_EQUIPPED_PROPERTY_SAINT_BULLET	성속성 블릿을 장착해야 합니다
MSI_MERCHANT_SOLD_ITEM_LOG	아이템 판매 내역
MSI_MERCHANT_ITEM_BUY_LOG	아이템 구매 내역
MSI_FAIL_NEED_EQUIPPED_GUN_GRANADE	그레네이드런쳐 계열의 총기류를 장착한 상태여야 합니다.
MSI_FAIL_DUPLICATE_HEAT_BARREL_GS_MADNESSCANCEL_P_ALTER	[히트배럴],[매드니스 캔슬러],[플래티넘 알터] 의 효과들은 중첩하여 사용할 수 없습니다.
MSI_USESKILL_FAIL_MAP	현재 맵에서는 사용할 수 없는 스킬입니다.
MSI_GUILD_STORAGE_WARNING	길드 창고를 이용중인 경우 창고의 모든 아이템이 사라지게 됩니다.
MSI_AMERICA_CASHSHOP_URL_GAMESAMBA	http://ragnarok.gamesamba.com/paytest.html
MSI_SECOND_PASSWORD_INFO_4	로그인을 위해 패스워드를 입력해주세요.
MSI_PET_EVOLUTION	펫 진화
MSI_PET_EVOLUTION_WITH_PET_NAME	진화 - %s
MSI_PET_EVOLUTION_NEED_ITEM	진화에는 다음의 재료가 필요합니다.
MSI_DO_YOU_WANT_TO_EVOLVE_PET	진화 하시겠습니까?
MSI_PET_EVOLUTION_FAIL_UNKNOWN	알 수 없는 오류
MSI_PET_EVOLUTION_FAIL_NOTEXIST_CALLPET	소환된펫을 갖고 있지 않습니다.
MSI_PET_EVOLUTION_FAIL_NOT_PETEGG	요청한 것이 펫알이 아닙니다.
MSI_PET_EVOLUTION_FAIL_RECIPE	진화 재료가 부족합니다.
MSI_PET_EVOLUTION_FAIL_MATERIAL	진화에 필요한 재료가 부족합니다.
MSI_PET_EVOLUTION_FAIL_RG_FAMILIAR	친밀도가 절친인 상태에서만 진화가 가능합니다.
MSI_PET_AUTO_FEEDING	펫 자동 먹이 주기
MSI_PET_AUTO_FEEDING_REST	펫에게 먹이를 주었습니다. \'%s\' 잔여량 %d개
MSI_PET_AUTO_FEEDING_ON	펫 자동 먹이 주기 활성화 On
MSI_PET_AUTO_FEEDING_OFF	펫 자동 먹이 주기 활성화 Off
MSI_REFRESH	갱신
MSI_TIME_LINE_MINUTE	%d 분 전
MSI_TIME_LINE_HOUR	%d 시간 전
MSI_TIME_LINE_DAY	%d 일 전
MSI_BASIC_EXP_MSG_PH	%d%% ( Premium %d%% + %s Server )
MSI_SEND_MAIL	우편 발송
MSI_MAIL_SENT	메일이 전송되었습니다.
MSI_GET_ITEMS_FROM_MAIL_SUCCEED	아이템이 인벤토리로 이동되었습니다.
MSI_GET_ITEMS_FROM_MAIL_FAILED	아이템 받기가 실패하였습니다.
MSI_GET_ITEMS_FROM_MAIL_OVERWEIGHT	인벤토리를 비워주세요
MSI_GET_ZENY_FROM_MAIL_SUCCEED	제니를 받았습니다.
MSI_GET_ZENY_FROM_MAIL_FAILED	제니 받기가 실패하였습니다.
MSI_GET_ZENY_FROM_MAIL_OVERAMOUNT	제니의 한계치를 넘었습니다.
MSI_SET_ITEMS_TO_MAIL_SUCCEED	아이템 첨부 성공
MSI_INVALID_MAIL_RECIEVER_INFO	받는 사람의 이름이 반드시 들어가야 합니다.
MSI_INVALID_MAIL_TITLE_INFO	제목의 길이는 한글 2자~25자, 영문 4자~50자 이어야 합니다.
MSI_FAILED_SEND_MAIL	메일 전송이 실패하였습니다.
MSI_FAILED_SEND_MAIL_ITEM	적절하지 못한 아이템으로 전송 실패하였습니다.
MSI_FAIELD_SEND_MAIL_TO	받는 사람의 정보가 존재하지 않습니다.
MSI_EA6	%s [%d옵션]
MSI_PARTY_BOOKING_ERR5R2	레벨은 1~%d 사이의 숫자를 입력해 주세요.
MSI_ITEM_WND_OVERFULL	소지창의 여유공간을 확보해주세요.
MSI_FAILED_MAIL_LIMIT_CNT	메일 보내기 횟수가 초과되었습니다.
MSI_FAILED_TO_WRITE_MAIL	메일을 열 수 없습니다.
MSI_JOINED_IN_CLAN	You are currently joined in CLan !!
MSI_GOLDPCCAFE_MILEAGE	골드 PC방 마일리지 정보
MSI_PET_EVOLUTION_FAIL_PET_ACC_OFF	펫 액세서리를 해제해야 진화가 가능합니다.
MSI_TIME_LINE_MINUTE2	%d 분 후
MSI_TIME_LINE_HOUR2	%d 시간 후
MSI_TIME_LINE_DAY2	%d 일 후
MSI_INVALID_CCODE_INFO	확인 버튼을 눌러 C-CODE를 확인하세요.
MSI_FAILED_DELETE_MAIL	첨부된 물품을 획득 후 삭제가 가능합니다.
MSI_FAILED_SEND_MAIL_ZENY	현재 보유 제니 보다 많은 제니를 보낼 수 없습니다.
MSI_SEND_MAIL_COMMISSION	수수료 : %s Zeny
MSI_FAILE_MAIL_RECIEVER_INFO	받는 사람의 이름이 존재하지 않습니다.
MSI_TAIWAN_PERSONALINFO_EXPMSG	E X P : %.1f%% ( basic %.1f%% premium %.1f%% + %s %.1f%%)
MSI_TAIWAN_PERSONALINFO_DROPMSG	DROP  : %.1f%% ( basic %.1f%% premium %.1f%% + %s %.1f%%)
MSI_TAIWAN_PERSONALINFO_DEATHMSG	DEATH : %.1f%% ( basic %.1f%% premium %.1f%% + %s %.1f%%)
MSI_MILEAGE_HELP	골드 PC방 마일리지는 최대 %d점까지 모을 수 있습니다.
MSI_RESTRAINT_OF_TRADE_1	해당 서버에서 사용 할 수 없는 기능 입니다
MSI_RESTRAINT_OF_TRADE_2	수래 이용이 불 가능한 서버 입니다.
MSI_RESTRAINT_OF_TRADE_3	옥션 이용이 불 가능한 서버 입니다.
MSI_RESTRAINT_OF_TRADE_4	거래가 불 가능한 서버 입니다.
MSI_RESTRAINT_OF_TRADE_5	아이템 버리기가 불 가능한 서버 입니다.
MSI_RESTRAINT_OF_TRADE_6	상점 판매 기능을 사용할수 없습니다.
MSI_USESKILL_FAIL_SUMMON_SP_INSUFFICIENT	소환물의 SP가 부족합니다.
MSI_SEND_MAIL_WEIGHT	%s/%s
MSI_INVALID_MAIL_CONTENTS_INFO	메일 내용의 최대 길이는 1K 이하 입니다.
MSI_SET_ITEMS_TO_MAIL_FAILED	아이템 첨부 실패
MSI_SET_ITEMS_TO_MAIL_OVER_WEIGHT	메일에 첨부할수 있는 아이템의 무게가 초과되었습니다.
MSI_DYNAMICNPC_FAIL_DUPLICATENAME	이미 서비스 중입니다. 잠시 후 다시 시도해 주세요.
MSI_FAILED_OPEN_ROULLETTE	행운의 룰렛창을 열 수 없습니다.
MSI_FAILED_CLOSE_ROULLETTE	행운의 룰렛창을 닫을 수 없습니다.
MSI_FAILED_GENERATE_ROULLETTE	행운의 룰렛을 시작 할 수 없습니다.
MSI_NOT_ENOUGH_ROULLETTE_POINT	행운의 룰렛을 시작하기 위해서는 포인트가 필요합니다.
MSI_FAILED_RECV_ITEM	당첨된 아이템을 수령할 수 없습니다.
MSI_FAILED_RECV_ITEM_OVERCOUNT	인벤토리에 아이템 개수가 초과되었습니다.
MSI_FAILED_RECV_ITEM_OVERWEIGHT	무게가 초과하였습니다. 소지창의 여유공간을 확보해주세요.
MSI_MERCHANTSHOP_MAKING_FAIL	노점 개설 실패.
MSI_FAILED_CLOSE_ROULLETTEWND	룰렛이 돌고 있습니다. 경품을 확인 후에 다시 시도해주세요.
MSI_ROULLETTE_WND	행운의 룰렛
MSI_SOUNDEFFECT_ITEMSELLWND	아이템 판매 시 소리로 알림
MSI_FAILED_SEND_MAIL_ITEMS	수수료를 확인해주세요.
MSI_CHECK_USER_NAME	유저이름 확인
MSI_DELETE_DUE_DATE	삭제 예정
MSI_ACHIEVEMENT_SYSTEM	달성과제
MSI_ACHIEVEMENT_TOTAL_SCORE	달성총점
MSI_ACHIEVEMENT_GRADE	달성등급
MSI_ACHIEVEMENT_SCORE_REQUIRED_TO_REWARD	다음 달성등급까지 [%5d]점
MSI_ACHIEVEMENT_SUMMARY_TITLE	진척상황
MSI_ACHIEVEMENT_RECENT_ACHIEVEMENT	최근 달성 업적
MSI_CASH_GEDARE1	仙貝 품목
MSI_CASH_GEDARE2	仙貝 : %d / %d 
MSI_CASH_GEDARE_FAIL_MONEY	仙貝가 부족합니다.
MSI_CASH_GEDARE_MONEY	%s 
MSI_ACHIEVEMENT_TAB_SUMMARY	개요
MSI_ACHIEVEMENT_TAB_GENERAL	일반
MSI_ACHIEVEMENT_TAB_GENERAL_CHARACTER	캐릭터
MSI_ACHIEVEMENT_TAB_GENERAL_ACTION	행동
MSI_ACHIEVEMENT_TAB_GENERAL_REST	기타
MSI_ACHIEVEMENT_TAB_ADVENTURE	모험
MSI_ACHIEVEMENT_TAB_ADVENTURE_RUNEMIDGARTS	룬미드가츠
MSI_ACHIEVEMENT_TAB_ADVENTURE_SCHWARZWALD	슈발츠발드
MSI_ACHIEVEMENT_TAB_ADVENTURE_ARUNAFELTZ	아루나펠츠
MSI_ACHIEVEMENT_TAB_ADVENTURE_ANOTHERWORLD	이계
MSI_ACHIEVEMENT_TAB_ADVENTURE_LOCALIZING	로컬라이징
MSI_ACHIEVEMENT_TAB_ADVENTURE_DUNGEON	던전
MSI_ACHIEVEMENT_TAB_BATTLE	전투
MSI_ACHIEVEMENT_TAB_BATTLE_PVP	결투
MSI_ACHIEVEMENT_TAB_BATTLE_TRAINING	수련
MSI_ACHIEVEMENT_TAB_QUEST	퀘스트
MSI_ACHIEVEMENT_TAB_QUEST_EPISODE	에피소드
MSI_ACHIEVEMENT_TAB_QUEST_GENERAL	일반
MSI_ACHIEVEMENT_TAB_MEMORIAL	메모리얼
MSI_ACHIEVEMENT_TAB_MEMORIAL_MIDGARD	미드가르드
MSI_ACHIEVEMENT_TAB_MEMORIAL_ANOTHERWORLD	이계
MSI_ACHIEVEMENT_TAB_MEMORIAL_REST	기타
MSI_ACHIEVEMENT_TAB_ACHIEVEMENT	위업
MSI_ACHIEVEMENT_TAB_TOTAL	달성한 과제
MSI_FAIL_ADD_ACHIEVEMENT_TRACING	더 이상 추가할 수 없습니다.
MSI_NOTICE_COMPLETE_ACHIEVEMENT	< %s > 달성하였습니다.
MSI_OTPUSER_ONLY	only otp user login allow
MSI_GET_ROULLETE_PRIZE	이 버튼을 누를 시, 지정된 상품을 받게되며 룰렛은 초기화 됩니다.
MSI_NOTICE_NEXT_ROULLETE_STAGE	이 버튼을 누를 시, 깜빡이는 화살표의 라인부터 룰렛을 시작 합니다.
