﻿MSI_DO_YOU_AGREE	你同意?
MSI_BATTLEFIELD_MSG_OVER_GUILDMEMBER	[접속되어있는 길드인원수가 많습니다.]
MSI_RESERVE_CHANGE_CHARACTER_SLOT	搬家预约
MSI_CHARACTER_SLOT_CHANGE	移动
MSI_CHANGE_CHARACTER_NAME	姓名变更
MSI_MSG_MAKECHARCTER	Make Character
MSI_UAE_URL	http://ro.game.gnjoy.com/
MSI_UAE_SERVERSTR	(%s) Server
MSI_MERGE_ITEM	合并项目(Ctrl+单击以选择全部)
MSI_SELECT_ITEM_TO_MERGE	请选择两个或多个相同类型的项目.
MSI_MERGE_ITEM_SUCCESS	项目合并成功.
MSI_MERGE_ITEM_FAILED_NOT_MERGE	一次只能组合一种类型的项目.
MSI_MERGE_ITEM_FAILED_MAX_COUNT	商品数量突破30000件.
MSI_CHARACTER_LEFT_ROLL	左转
MSI_CHARACTER_RIGHT_ROLL	右转
MSI_VIEW_BEFORE_WORLDINFO	查看(%s)之前的服务器信息
MSI_VIEW_BEFORE_WORLDINFO_TITLE	现有服务器信息
MSI_VIEW_BEFORE_SERVERINFO	^ff0000现有服务器:^0000ff
MSI_VIEW_BEFORE_CHARNAME	^ff0000现有角色名称:^0000ff
MSI_MONSTER_HP_ON	显示被攻击怪物的HP.
MSI_MONSTER_HP_OFF	不显示攻击怪物的HP.
MSI_MERGE_ITEM_FAILED_NOT_EXIST	没有可合并的项目
MSI_NOT_EXIST_MERGE_ITEM	没有可合并的项目.
MSI_QUESTUI_TAB_PROCESS	进行中
MSI_QUESTUI_TAB_HOLD	等候接听
MSI_QUESTUI_TAB_BEST	建议
MSI_QUESTUI_TAB_EPISODE	插曲
MSI_QUESTUI_TAB_LOCAL	当地的
MSI_QUESTUI_TAB_EVENT	事件
MSI_QUESTUI_TAB_NEW	新的
MSI_QUESTUI_HUNTMONSTER	狩猎怪物
MSI_QUESTUI_REWARDITEM	奖励物品
MSI_QUESTUI_NEEDITEM	必填项目
MSI_QUESTUI_TIMELIMIT	时限
MSI_QUESTUI_CLOSINGTIME	最后期限
MSI_NAVIGATION_SEARCH	搜索
MSI_NAVIGATION_TARGETGO	实现目标的指南
MSI_NAVIGATION_ROUTEINFO	路线信息
MSI_NAVIGATION_SEARCHINFO	搜索信息
MSI_NAVIGATION_VIEWCHANGE	更改查看模式
MSI_NAVIGATION_LIGHTCHANGE	读取外部路由信息文件
MSI_NAVIGATION_END	结尾
MSI_NAVIGATION_BASE	更改为默认用户界面
MSI_NAVIGATION_MINI	更改为简单的 UI
MSI_NAVIGATION_HELP	帮助
MSI_NAVIGATION_ALL	ALL
MSI_NAVIGATION_MAP	Map
MSI_NAVIGATION_NPC	Npc
MSI_NAVIGATION_MOB	Mob
MSI_NAVIGATION_SETSTRING	设置搜索词(例如:word word...
MSI_NAVIGATION_SCROLL	Scroll
MSI_NAVIGATION_USESCROLL	应用地下城移动卷轴用法
MSI_NAVIGATION_SERVICE	Service
MSI_NAVIGATION_USESERVICE	允许位置移动服务
MSI_NAVIGATION_PLANE	Plane
MSI_NAVIGATION_USEPLANE	无过程运动的应用
MSI_NAVIGATION_TARGETUNKNOWN	>> 无法读取目标信息!
MSI_NAVIGATION_GOING	<< 指南 >>
MSI_NAVIGATION_SEARCHING	<<正在搜索...>>
MSI_NAVIGATION_UN	-----------
MSI_NAVIGATION_NAVI	Navigation
MSI_NAVIGATION_SEARCHRESULT_D	== 搜索结果(%d)==
MSI_NAVIGATION_NPC_S_S	Npc)%s:%s
MSI_NAVIGATION_MOB_S_S	Mob)%s:%s
MSI_NAVIGATION_MAP_S	Map)%s
MSI_NAVIGATION_RESULTINFO	========结果信息==========
MSI_NAVIGATION_LENGTH	距离:%d 出售 %d WarpMove
MSI_NAVIGATION_TARGETMAP_S_S	目标地图:%s(%s)
MSI_NAVIGATION_TARGET_S_D_D	目标:%s(%d, %d)
MSI_NAVIGATION_BOSS	老板
MSI_NAVIGATION_NORMAL	常见的
MSI_NAVIGATION_TARGET_S_S	目标:%s(%s)
MSI_NAVIGATION_TARGET_D_D	目标:(%d,%d)
MSI_NAVIGATION_GOINFO	======= 路线信息 =======
MSI_NAVIGATION_ITEM_S_S	%2d) 物品:%s => 使用%s!
MSI_NAVIGATION_D_S_D_D_D_D	%2d) %s(%d,%d)=>(%d,%d)
MSI_NAVIGATION_E_D_S_D_D_D_D	E%2d) %s(%d,%d)=>(%d,%d)
MSI_NAVIGATION_E_D_S	E%2d) %s
MSI_NAVIGATION_GOEXIT	我们正在指导您!你想退出吗?
MSI_NAVIGATION_HELPTITLE	导航帮助
MSI_NAVIGATION_HELP1	-  -  -  -  -  -  -  -  - - 命令  -  -  -  -  -  -  -  -  -  -
MSI_NAVIGATION_HELP2	1. /navigation      /navi
MSI_NAVIGATION_HELP3	ex)/navi prontera 100/100 -> 地图名称,100/100
MSI_NAVIGATION_HELP4	基本命令基于Zeny和飞艇搜索.
MSI_NAVIGATION_HELP5	2. /navigation2      /navi2
MSI_NAVIGATION_HELP6	  ex) /navi2 prontera 100/100 1/1/1
MSI_NAVIGATION_HELP7	-> 地图名称,位置(100/100),scroll/zeny/plane(1:使用过 0:未使用)
MSI_NAVIGATION_HELP8	3,输出所有$$all项(输出类型可以通过Type分类项来区分.)
MSI_NAVIGATION_HELP9	4.$$lv30对应等级怪物输出
MSI_NAVIGATION_HELP10	5.怪物输出等级范围$$lv20~30
MSI_NAVIGATION_HELP11	-  -  -  -  -  -  -  -  - -  解释   -  -  -  -  -  -  -  -  -  -
MSI_NAVIGATION_HELP12	1.搜索类型分为全图,地图,NPC,怪物.
MSI_NAVIGATION_HELP13	2.使用命令搜索.该规则输出包含所有要搜索的字符串的信息.
MSI_NAVIGATION_HELP14	ex) Prontera Capra -> 搜索结果显示所有 Prontera Capra.
MSI_NAVIGATION_HELP15	3. 当您从列表中选择一个项目时,将显示信息.
MSI_NAVIGATION_HELP16	当打印目标时,单击指导按钮将引导您实现该目标.
MSI_NAVIGATION_HELP17	4.您可以根据需要多次选中滚动/zeny/平面框,以获得更快的路线引导.
MSI_NAVIGATION_HELP18	5. 当按下引导按钮时,结果列表窗口将变为路线引导列表窗口.
MSI_NAVIGATION_HELP19	6.使用搜索列表窗口底部的按钮
MSI_NAVIGATION_HELP20	您可以将查看模式更改为 [결과 리스트 창] <-> [길 안내 정보 창].
MSI_NAVIGATION_LEVEL_D_BOSS	等级:%d(老板)
MSI_NAVIGATION_LEVEL_D_NORMAL	级别:%d(一般)
MSI_NAVIGATION_PROPERTY1	水属性%d
MSI_NAVIGATION_PROPERTY2	可持续性%d
MSI_NAVIGATION_PROPERTY3	火属性%d
MSI_NAVIGATION_PROPERTY4	风属性%d
MSI_NAVIGATION_PROPERTY5	毒属性%d
MSI_NAVIGATION_PROPERTY6	神圣属性%d
MSI_NAVIGATION_PROPERTY7	暗属性%d
MSI_NAVIGATION_PROPERTY8	火焰属性 %d
MSI_NAVIGATION_PROPERTY9	不朽%d
MSI_NAVIGATION_PROPERTY0	非属性%d
MSI_NAVIGATION_SCALE1	中等尺寸
MSI_NAVIGATION_SCALE2	形成
MSI_NAVIGATION_SCALE0	小的
MSI_NAVIGATION_RACE1	不朽型
MSI_NAVIGATION_RACE2	动物类型
MSI_NAVIGATION_RACE3	植物类型
MSI_NAVIGATION_RACE4	昆虫类型
MSI_NAVIGATION_RACE5	鱼壳型
MSI_NAVIGATION_RACE6	恶魔型
MSI_NAVIGATION_RACE7	人形生物
MSI_NAVIGATION_RACE8	天使型
MSI_NAVIGATION_RACE9	巴劳尔
MSI_NAVIGATION_RACE0	无形的
MSI_NAVIGATION_MOVECLICK	%s 点击移动
MSI_NAVIGATION_NPCMOVE	使用NPC移动服务
MSI_NAVIGATION_NPCCLICK	点击NPC
MSI_NAVIGATION_S_MOVE	%s 移动
MSI_NAVIGATION_PLANEMOVE	飞艇运动
MSI_NAVIGATION_WARPUSE	使用扭曲
MSI_NAVIGATION_TARGETPOINT_D_D	目的地点:( %d %d )
MSI_NAVIGATION_UNKNOWNMAP	该区域不支持导航.
MSI_NAVIGATION_RS_UNKNOWN	您正在寻找的内容的目的尚不清楚.
MSI_NAVIGATION_RS_NOTSAMEMAP	这是一张不太匹配的地图.
MSI_NAVIGATION_RS_FAILSTARTDATA	出发地区信息设置失败!
MSI_NAVIGATION_RS_FAILTARGET	到达点信息设置失败!
MSI_NAVIGATION_RS_FAILROUTE	找不到路
MSI_NAVIGATION_RS_FAILPLAYER	无法找到玩家位置
MSI_NAVIGATION_RS_NODATA	导航中没有任何信息.
MSI_NAVIGATION_RS_MAPNOTNAVIGATION	该地图不支持导航.
MSI_NAVIGATION_RS_FAILTARGETROUTE	请具体说明您的目标.
MSI_NAVIGATION_RS_SUCCESS	到达.
MSI_NAVIGATION_RS_START	方向指引已经开始.
MSI_NAVIGATION_RS_MOBTARGETMAP	这是一张包含您正在寻找的怪物的地图.
MSI_NAVIGATION_RS_TARGETMAP	这就是您正在寻找的地图.
MSI_NAVIGATION_RS_SCROLL	请使用该物品进行移动.
MSI_NAVIGATION_RS_ROUTE_SUCCESS	请前往指定地点.
MSI_NAVIGATION_RS_MAPTMAP_SUCCESS	您已到达目标地图.
MSI_NAVIGATION_RS_NPCTMAP_SUCCESS	您已到达您要寻找的NPC所在的地图.请前往NPC.
MSI_NAVIGATION_RS_MOBTMAP_SUCCESS	您已到达您要寻找的生物所居住的地图.
MSI_NAVIGATION_RS_POSTMAP_SUCCESS	这和以前的目标是一样的.
MSI_NAVIGATION_RS_SAMETARGET	请按照指示的方向行驶.
MSI_NAVIGATION_RS_HERE	目标就在这里.
MSI_NAVIGATION_PRINT_S	Navigation >: %s
MSI_NAVIGATION_PRINT_GO_S	导航 >:使用 %s 来指导您
MSI_NAVIGATION_PRINT_MAP_S	导航 >:请前往地图 (%s)
MSI_NAVIGATION_PRINT_SELECTMAP_S	导航 >:请选择要移动的地图 (%s).
MSI_NAVIGATION_PRINT_PLANE	导航>:请移至飞艇
MSI_NAVIGATION_PRINT_WARP	导航>:请使用扭曲移动到下一个区域.
MSI_NAVIGATION_PRINT_ITEM	Item: 
MSI_NAVIGATION_ZZ	$$
MSI_NAVIGATION_ZZLV	$$lv
MSI_NAVIGATION_ZZLIMIT	~
MSI_NAVIGATION_ZZALL	$$all
MSI_SHOP_ITEM_BAY_TITLE	购买确认
MSI_SHOP_ITEM_BAY_MAG1	您要购买的商品的总价是
MSI_SHOP_ITEM_BAY_MAG2	这是泽尼.
MSI_SHOP_ITEM_BAY_MAG3	您想购买吗?
MSI_BASIC_EXP_MSG2	%.1f%%(电脑房%.1f%% + TPLUS %.1f%% + 高级%.1f%% + %s 服务器%.1f%%)
MSI_CARDWIN	卡书
MSI_PERSONAL_INFORMATION_MSG_CHN	%d%% [ ( 기본 100%% + %s서버 %d%% ) * 활성 %.1f ]
MSI_PERSONAL_INFORMATION_MSG_CHN_DEATH	%d%% [ 기본 100%% + %s서버 %d%% ]
MSI_CAUTION_PKZONE	这是PK区.未成年人请自愿离开.
MSI_FATIGUE	疲劳
MSI_FATIGUE_LEVEL_ZERO	他身体健康,博彩利润100%.
MSI_FATIGUE_LEVEL_HALF	由于他们现在处于疲劳状态,客户的博彩利润下降了50%.为了您的健康,请充分休息.
MSI_FATIGUE_LEVEL_FULL	由于我目前身体不适,为了顾客的健康,我想离线玩游戏.保持在线会损害你的健康,因此游戏利润将下降至0%,并在离线5小时后恢复.
MSI_FATIGUE_MESSAGE0	连接时间为 %d 分钟.
MSI_FATIGUE_MESSAGE1	连接时间为 %d.
MSI_FATIGUE_MESSAGE2	转机时间为 %d 小时 %d 分钟.
MSI_EXPLAIN_MONSTERHP	/monsterhp:显示被攻击怪物的HP信息.开 关
MSI_SKILLPOINT2	技能点:
MSI_BAN_BILLING_SERVER_ERROR	认证服务器没有响应.请重试
MSI_REFUSE_CHANGE_PASSWD_FORCE	请更改您的密码.
MSI_REFUSE_CHANGE_PASSWD_SITE	http://www.ragnarok.co.kr
MSI_PLANNED_TIME_SHUTDOWN	目前,客户已被锁定.
MSI_SHOUTDOWN_TIME	由于关闭系统,游戏将于%1.2d-%1.2d-%1.2d %1.2d:%1.2d:%1.2d结束.
MSI_PARTIAL_SHOUTDOWN_TIME	您的帐户是选择性关闭帐户,剩余时间为 %1.2d 小时 %1.2d 分钟.请在使用游戏时牢记这一点.
MSI_MENU_REPLAYWND	重播
MSI_MENU_MACROWND	宏
MSI_MENU_WEBBROWSERWND	Webbrowser
MSI_MENU_NAVIGATIONWND	导航
MSI_MENU_UAEURLWND	UAEURL
MSI_CLAN_INFOMANAGE	部落信息
MSI_CLAN_LEVEL	氏族等级
MSI_CLAN_NAME	氏族名称
MSI_CLAN_MARK	氏族马克
MSI_ALLY_CLAN	联盟氏族
MSI_HOSTILITY_CLAN	敌对氏族
MSI_SEND_TO_CLAN	发送至部落
MSI_CLAN_MASTER_NAME	主人姓名
MSI_CLAN_NUM_MEMBER	工会会员人数
MSI_CLAN_MANAGE_LAND	管理领地
MSI_VIEW_CLAN_MSG	显示部落聊天消息
MSI_TWWEB_WARRING	进入充值页面.
MSI_TWWEB_URL	https://gfb.gameflier.com/Billing/ingame/index_new.asp?
MSI_STR_MAKECHARACTER	创建一个角色
MSI_CHR_DELETE_RESERVED_FAIL_CHARNAME	角色名称不匹配.
MSI_CHR_DELETE_RESERVED_INPUTCONFIRMSTR_WND_TITLE	请输入您的角色名称
MSI_SELECT_SEX	性别选择窗口
MSI_SPRITE_ALTER	已检测到文件的伪造和更改.
MSI_CONFIRM_TO_OPEN_EVENT_ITEM	打开物品获得的物品为角色绑定物品(无法移至仓库).请确保您为该角色使用正确的角色.您想打开盒子吗?
MSI_GAME_SETTING	游戏设置
MSI_SYSTEM_SETTING	游戏系统
MSI_COMMAND_SETTING	游戏命令
MSI_COMMAND_LIST	游戏命令 ON/OFF
MSI_MACRO_LIST	宏
MSI_EXCHANGEITEM_DENY_MAP	该区域禁止物品交换.
MSI_CART_USE_DENY_MAP	该区域禁止使用手推车.
MSI_BLOCK_SUNMOONSTAR_MIRACLE	太阳,月亮,星辰的奇迹效应不会在这个区域发生.
MSI_RANKING_BOARD	排名板
MSI_RANKING_NUMBER	排行
MSI_RANKING_NAME	姓名
MSI_RANKING_POINT	观点
MSI_RANKING_BLACKSMITH	BlackSmith
MSI_RANKING_ALCHEMIST	Alchemist
MSI_RANKING_TAEKWON	Taekwon
MSI_RANKING_KILLER	Killer
MSI_RANKING_BATTLE_7VS7_ALL	7 vs 7
MSI_RANKING_RUNE_KNIGHT	RuneKnight
MSI_RANKING_WARLOCK	Warlock
MSI_RANKING_RANGER	Ranger
MSI_RANKING_MECHANIC	Mechanic
MSI_RANKING_GUILLOTINE_CROSS	GuillotineCross
MSI_RANKING_ARCHBISHOP	Archbishop
MSI_RANKING_ROYAL_GUARD	RoyalGuard
MSI_RANKING_SORCERER	Sorcerer
MSI_RANKING_MINSTREL	Minstrel
MSI_RANKING_WANDERER	Wanderer
MSI_RANKING_GENETIC	Genetic
MSI_RANKING_SHADOW_CHASER	ShadowChaser
MSI_RANKING_SURA	Sura
MSI_RANKING_KAGEROU	Kagerou
MSI_RANKING_OBORO	Oboro
MSI_RANKING_SELECT	Select Ranking Type
MSI_RANKING_TYPE	Ranking Type
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_SEC	目前连接用户数已满.           ^0000ff当前等待优先级:%d 预计等待时间:%d 秒
MSI_WAITING_FOR_ENTER_TO_CHARACTER_SEVER_IN_MIN	目前连接用户数已满.           ^0000ff当前等待优先级:%d 预计等待时间:%d分钟 %d秒
MSI_CBT_ACTIVE_USER_CHECK	我不是 CBT 邀请的用户.
MSI_NAVIGATION_HELP_1	-------------- 导航命令 --------------
MSI_NAVIGATION_HELP_2	/navigation /navi : /navi yuno 100/100 ->> 地图名称,位置 (100/100)
MSI_NAVIGATION_HELP_3	/navigation2 /navi2 : /navi2 yuno 100/100 1/1/1 ->> 地图名称,位置 (100/100),scroll/zeny/plane (1: 使用过 0: 未使用)
MSI_NAVIGATION_HELP_4	-------------- 导航搜索框命令 ----------
MSI_NAVIGATION_HELP_5	$$all:打印所有项目(输出类型可以在类型分隔符中划分.)
MSI_NAVIGATION_HELP_6	$$lv30:输出相应等级的怪物(数量可更改)
MSI_NAVIGATION_HELP_7	$$lv20~30:输出相应等级范围内的怪物(数量可更改)
MSI_RANKING_BATTLE_1VS1_ALL	1 vs 1
MSI_SHADOW_EQUIPMENT	特殊设备
MSI_CHARACTERERROR_JOB	%d 角色的工作信息很奇怪.请联系客服.错误代码(%d)
MSI_NAVIGATION_ALL_S	(%s) %d / %d
MSI_NAVIGATION_ALL_SD	%s-%s(%d/%d)
MSI_REFUSE_OVER_USERLIMIT	您无法再连接到服务器,因为用户数量已超出限制.
MSI_REFUSE_ERRORCODE	服务器连接失败 (%d)
MSI_REFUSE_DISCONNECT_KEEP_TIME	超过登录时间限制
MSI_REFUSE_WEB_AUTH_FAILED	登录时认证服务器认证失败.
MSI_GUILDNAME_CHECK	公会名称中不能使用空格字符.
MSI_BILLING_CHN_1	顾客您好!
MSI_BILLING_CHN_2	您的服务期于 %d:%d,%d,%d,%d 结束.
MSI_BILLING_CHN_3	你还有很多时间,所以放心玩吧!
MSI_BILLING_CHN_4	您的使用时间将在本周内结束.关闭前请先充值.
MSI_BILLING_CHN_5	您的使用时间将在 24 小时内结束.请尽快充电.
MSI_BILLING_CHN_6	目前您的使用时间还剩 %d 小时.请充电才能正常使用游戏.
MSI_BILLING_CHN_7	目前您的使用时间还剩 %d 分钟.使用时间结束后强制结束.请充电才能正常使用游戏.
MSI_BILLING_CHN_8	您还剩 %d 小时 %d 分钟.
MSI_BASIC_EXP_MSG_THAI	%d%%(基本100%% + 电脑房%d%% + 高级%d%% + %s服务器%d%%)
MSI_CHN_BILLING_EXPIRE_TIME	您的使用时间将于 %d 小时 %d 分钟后结束.
MSI_CHN_BLOCK_FOREVER	您的帐户已被永久禁止.
MSI_CHN_BLOCK	您的帐户已被禁止\n 取消时间:%04d-%02d-%02d %02d:%02d
MSI_WORLDMAP_MSG1	怪物(标签)
MSI_WORLDMAP_MSG2	地图(替代)
MSI_WORLDMAP_MSG3	指导信息
MSI_WORLDMAP_MSG4	搜索信息
MSI_WORLDMAP_MSG5	不公平
MSI_WORLDMAP_MSG6	卡普拉
MSI_WORLDMAP_MSG7	(到达)
MSI_NAVIGATION_MOB_S_S_S	Mob)%s:%s(%s)
MSI_NAVIGATION_NUM	分布:%s
MSI_NAVIGATION_NUM1	很多
MSI_NAVIGATION_NUM2	足够
MSI_NAVIGATION_NUM3	通常
MSI_NAVIGATION_NUM4	较少的
MSI_NAVIGATION_NUM5	很少
MSI_BANK_SYSTEM_ERROR	我不能使用银行.请稍后重试.
MSI_BANK_WITHDRAW_NO_MONEY	我的银行余额很低.
MSI_BANK_DEPOSIT_NO_MONEY	您无法存款,因为您没有足够的 Zeny.
MSI_BANK_DEPOSIT_ZERO	您可以存入超过 1 Zeny.
MSI_BANK_WITHDRAW_ZERO	您可以提取超过 1 Zeny.
MSI_BANK_OVER_INT_MAX	您持有的 Zeny 不能超过 2,147,483,647 Zeny.
MSI_REFUSE_MOTP_LOCK	your account is lock by mobil otp
MSI_REFUSE_MOTP_AUTH_FAIL	MOTP auth fail
MSI_JOBPLUSEXP_VALUE	从怪物身上获得的工作经验增加 %d%%,持续 %d 分钟.
MSI_BANK_MY_ZENY	索吉·泽尼:%s·泽尼
MSI_BANK_ZENY	Zeny
MSI_BANK_WARNING	您最多只能存储 2,147,483,647 Zeny.
MSI_NEED_MORE_BULLET	我们的子弹用完了.
MSI_OVERPRICE_MAX	即使您输入超过 10 亿个 Zeny,价格也固定为 10 亿个 Zeny.
MSI_NOT_VALID_AUTH_TICKET	AuthTicket is Not Vaild
MSI_STEAMAGENCY_ERROR	ErrorCategory : %d, ErrorCode : %d (%d,%d,%d,%d)
MSI_BASIC_EXP_MSG_INDONESIA	%d%% ( Basic 100%% + Premium %d%% + PCCafe %d%% + %s Server %d%% )
MSI_RECEIVEITEM_VALUE	%d分钟内猎杀怪物获得的基本物品掉落率增加至%d%%.
MSI_RECEIVEITEM_VALUE_1	通过狩猎怪物获得的基本物品的掉落率增加至%d%%,持续%dtime %.2d分钟.
MSI_WARNING_PRICE1	%s 的价格是
MSI_WARNING_PRICE2	100000000
MSI_WARNING_PRICE3	^ff0000%d^0000ff 十亿
MSI_WARNING_PRICE4	10000000
MSI_WARNING_PRICE5	^ff0000%d^0000ff1000 万
MSI_WARNING_PRICE6	^0000ffZeny 或更多^000000.\n输入的金额是否正确?
MSI_WARNING_PRICE7	安全性已确认超过 1000 万 Zeny
MSI_AMERICA_CASHSHOP_URL	https://www.warpportal.com/account/login.aspx?ReturnUrl=%2faccount%2fpayment.aspx
MSI_AMERICA_CASHSHOP_URL_STEAM	https://kepler.warpportal.com/ro1/purchase/?step=1&steamid=%lld&accountname=
MSI_QUEST_INFO_01	大地的尽头,连接斯普兰迪德和阿尔夫海姆漂浮大陆的桥梁,碧弗罗斯特的巨大裂痕,以及来历不明的迷宫森林.
MSI_QUEST_INFO_02	这是宣告旅程结束的征兆,还是开启新世界的征兆?守护者在歌声的诱惑下渐渐失去了理智.
MSI_QUEST_INFO_03	几千年过去了,他很困惑,自己辛辛苦苦守护的到底是什么,又是否是被封印,关押已久的自己.
MSI_QUEST_INFO_04	当诱惑之歌的歌词达到顶峰时,连接大地边缘灿烂与漂浮大陆阿尔夫海姆的桥梁碧弗罗斯特出现了一条巨大的裂缝.结果,两个世界之间的交通被切断,给人们带来了极大的不便.
MSI_QUEST_INFO_05	现在通往碧弗罗斯特的唯一道路是迷宫森林.从来没有人安全地通过过那个来历不明的地方.
MSI_QUEST_INFO_06	迷宫森林,吞噬了无数冒险者的混乱地狱,正在向更深,更混乱的方向扩张,就像一个不知名的女人的心灵在其中徘徊.
MSI_BANK_CHECK_NUM	只能输入数字.
MSI_BANK_PROHIBIT	兑换窗口或商店激活期间无法进行存款和取款.
MSI_QUEST_INFO_00	前往
MSI_ITEM_COMPARISON	项目比较
MSI_WRONG_GUN	您当前尝试装备的枪与您装备的弹药不匹配.
MSI_WRONG_BULLET	您当前尝试装备的弹药与您所装备的枪不匹配.
MSI_BUYINGSTORE_MAKEWND_ADD_GOODS	您还没有列出任何待售物品.请注册您要出售的商品
MSI_ITEM_IN_MAIL_SYSTEM	ITEM
MSI_GUILD_STORAGE_OPEN_ERROR	公会仓库不可用.
MSI_GUILD_STORAGE_OPEN_NO_JOIN_GUILD	我不是公会的成员.请注册后使用.
MSI_GUILD_STORAGE_WARNING_USING_ANOTHER_MEMBER	另一位公会成员正在使用它.请稍后使用.
MSI_GUILD_STORAGE_PERMISSON	仓库许可
MSI_GUILD_STORAGE_TITLE	公会仓库
MSI_GUILD_STORAGE_PERMISSON_WARNING_MSG	您没有使用公会仓库的权限.
MSI_BARGAINSALE_TOOLWND_TITLE	有限销售登记窗口
MSI_BARGAINSALE_TOOLWND_DB_NAME	项目数据库名称
MSI_BARGAINSALE_TOOLWND_DB_NUMBER	项目数据库编号
MSI_BARGAINSALE_TOOLWND_SELL_COUNT	销售数量
MSI_BARGAINSALE_TOOLWND_SELL_STARTTIME	销售开始时间
MSI_BARGAINSALE_TOOLWND_SELL_PERIODTIME	出售时间
MSI_BARGAINSALE_TOOLWND_INPUT_COUNT_MSG	请输入要出售的数量
MSI_BARGAINSALE_TOOLWND_INPUT_STARTTIME_MSG	请输入销售开始时间
MSI_BARGAINSALE_TOOLWND_WRONG_RANGE_MSG	销售开始时间范围不匹配
MSI_BARGAINSALE_TOOLWND_INPUT_PERIODTIME_MSG	请输入您要出售的时间
MSI_BARGAINSALE_TOOLWND_INPUT_ITEMDBNAME_MSG	请输入项目数据库名称
MSI_BARGAINSALE_TOOLWND_ITEMID_CHECK_FAILED_MSG	项目 ID 搜索失败.请检查并重试
MSI_BARGAINSALE_TOOLWND_RESULT_FORMAT	>> 商品名称:%s / 价格:%dc / 数量:%d / 销售期间:%d 月:%d 日:%d 小时:%d 分钟 ~ %d 月:%d 天:%d 小时:%d 分钟
MSI_BARGAINSALE_TOOLWND_APPLY_SUCCESS_MSG	注册成功
MSI_BARGAINSALE_TOOLWND_APPLY_FAILED_MSG	注册失败.请再试一次.
MSI_BARGAINSALE_TOOLWND_ALREADY_REGISTERED_MSG	已经有一个注册项目.请再试一次.
MSI_BARGAINSALE_TOOLWND_DELETE_FAILED_MSG	项目删除失败.请再试一次.
MSI_BARGAINSALE_TOOLWND_DELETE_SUCCESS_MSG	%s 项已被删除.
MSI_BARGAINSALE_CASHSHOP_TAB_NAME	特价
MSI_BARGAINSALE_CASHSHOP_REFRESH_BTN_TOOLTIP	更新限量版商品的销售数量
MSI_BARGAINSALE_CASHSHOP_TIMER	销售结束
MSI_BARGAINSALE_CASHSHOP_REFRESH_MSG	需要更新数量
MSI_BARGAINSALE_CASHSHOP_CHECK_COUNT_MSG	由于库存不足,仅购买 %d 件.
MSI_BARGAINSALE_START_MSG	%s 件商品的特价销售已经开始
MSI_BARGAINSALE_CLOSE_MSG	%s 由于商品售完或销售时间到期,限时销售已结束.
MSI_BARGAINSALE_TOOLWND_CALL	/한정판매
MSI_FRANCE_CASHSHOP_URL	http://www.ragnarokeurope.com/news/home-r70.html
MSI_FRANCE_CASHSHOP_URL_STEAM	http://www.ragnarokeurope.com/index.php?rubrique=70&Steam
MSI_PARA_RESULT_TITLE	商品购买成功
MSI_PARA_WRONG_PURCHASE_COUNT_MSG	订单数量超过库存.
MSI_PARTY_INVITE	这是一个不能被邀请的角色名.
MSI_GUILD_INVITE	这是不能被邀请加入公会的角色的名字.
MSI_PARA_PURCHASE_ITEM_FAIL	部分商品已售出,无法购买.
MSI_NOWARPSKILL2	我不记得当前位置的扭曲位置.
MSI_PARA_PURCHASE_ITEM_WEIGHT	该商品因超重而无法购买.
MSI_GUILD_STORAGE_NUMBER	No.
MSI_GUILD_STORAGE_ITEM	物品
MSI_GUILD_STORAGE_ITEM_COUNT	数数
MSI_GUILD_STORAGE_USER_NAME	姓名
MSI_GUILD_STORAGE_LOG_TIME	小时
MSI_GUILD_STORAGE_ITEM_IN_OUT	嘴/출
MSI_GUILD_STORAGE_LOG_FINISH	该日志不存在.
MSI_GUILD_STORAGE_LOG_ALL	全部的
MSI_GUILD_STORAGE_LOG_IN	普京
MSI_GUILD_STORAGE_LOG_OUT	减去
MSI_GUILD_STORAGE_LOG_WND_NAME	公会仓库详情
MSI_GUILD_STORAGE_LOG_CAUTION	仅显示最近 100 条记录.
MSI_GUILD_STORAGE_CLOSE_TIMEOUT	公会仓库使用时间2分钟后将自动关闭.
MSI_INCORRECT_GAMESAMBEID	Incorrect GameSamba ID. Please Try Again.
MSI_EA5	%s [%d옵션] : %d 件
MSI_USESKILL_FAIL_COINTS	需要硬币.
MSI_USESKILL_FAIL_COINTS_NUM	您将需要 %d 硬币.
MSI_FAIL_NEED_EQUIPPED_GUN_GATLING	您必须配备加特林枪型枪械.
MSI_FAIL_NEED_EQUIPPED_GUN_SHOTGUN	您必须配备猎枪型枪支.
MSI_FAIL_NEED_EQUIPPED_GUN_RIFLE	您必须配备步枪型枪支.
MSI_FAIL_NEED_EQUIPPED_GUN_HANDGUN	您必须配备左轮手枪型枪支.
MSI_FAIL_NEED_EQUIPPED_PROPERTY_SAINT_BULLET	你必须装备圣属性子弹.
MSI_MERCHANT_SOLD_ITEM_LOG	商品销售历史
MSI_MERCHANT_ITEM_BUY_LOG	商品购买历史记录
MSI_FAIL_NEED_EQUIPPED_GUN_GRANADE	您必须配备榴弹发射器系列枪械.
